,date,geography_name,market,population,submarket,cap_rate,price,equity,debt,mo_rent,occupancy,revenue,debt_service,pay_off,valuation,cashflow,irr
3,2027-12-31,Albany - NY USA - Schenectady,Albany - NY,900119.0,Schenectady,0.0669975578784943,444669.4101,0.0,0.0,1920.46752929688,0.990681767463684,12328.667637497298,15662.562499583997,0.0,0.0,-3333.8948620866995,
4,2028-12-31,Albany - NY USA - Schenectady,Albany - NY,900119.0,Schenectady,0.063197560608387,480915.7516,0.0,0.0,1957.90246582031,0.989030718803406,12548.038426599602,15662.562499583997,0.0,0.0,-3114.5240729843954,
5,2029-12-31,Albany - NY USA - Schenectady,Albany - NY,900119.0,Schenectady,0.0611975602805614,505972.1747,0.0,0.0,1993.87805175781,0.98856794834137,12772.623897951808,15662.562499583997,222479.58096,505972.1747,280602.6551383678,0.12034718800060218
0,2024-12-31,Albany - NY USA - Troy,Albany - NY,900119.0,Troy,0.0761784017086029,516391.6326,206556.65304,309834.97956,2146.00805664063,0.965688824653625,0.0,0.0,0.0,0.0,-206556.65304,
1,2025-12-31,Albany - NY USA - Troy,Albany - NY,900119.0,Troy,0.076978400349617,531277.0496,0.0,0.0,2225.85595703125,0.966423213481903,13939.250256488012,21812.382561024,0.0,0.0,-7873.132304535986,
2,2026-12-31,Albany - NY USA - Troy,Albany - NY,900119.0,Troy,0.0738784000277519,572681.4152,0.0,0.0,2292.583984375,0.945060014724731,14039.758862121658,21812.382561024,0.0,0.0,-7772.62369890234,
3,2027-12-31,Albany - NY USA - Troy,Albany - NY,900119.0,Troy,0.070178396999836,619347.5149,0.0,0.0,2346.69604492188,0.928137063980103,14113.800140175088,21812.382561024,0.0,0.0,-7698.58242084891,
4,2028-12-31,Albany - NY USA - Troy,Albany - NY,900119.0,Troy,0.0663783997297287,669508.4139,0.0,0.0,2393.49609375,0.926212549209595,14365.422047979762,21812.382561024,0.0,0.0,-7446.960513044236,
5,2029-12-31,Albany - NY USA - Troy,Albany - NY,900119.0,Troy,0.0643784031271935,704555.0029,0.0,0.0,2438.60009765625,0.926648020744324,14643.011221142915,21812.382561024,309834.97956,704555.0029,387550.65200011886,0.10949304037566798
0,2024-12-31,Albany - OR USA - Linn County,Albany - OR,131582.0,Linn County,0.0617924444377422,188474.668,75389.86720000001,113084.8008,1633.03857421875,0.95457261800766,0.0,0.0,0.0,0.0,-75389.86720000001,
1,2025-12-31,Albany - OR USA - Linn County,Albany - OR,131582.0,Linn County,0.0618924461305141,197293.865,0.0,0.0,1704.32592773438,0.95125687122345,10505.711337159233,7961.169976319999,0.0,0.0,2544.5413608392346,
2,2026-12-31,Albany - OR USA - Linn County,Albany - OR,131582.0,Linn County,0.0596924461424351,213036.4633,0.0,0.0,1767.6533203125,0.945644617080688,10831.78556997472,7961.169976319999,0.0,0.0,2870.615593654721,
3,2027-12-31,Albany - OR USA - Linn County,Albany - OR,131582.0,Linn County,0.0570924431085587,230184.7699,0.0,0.0,1822.43701171875,0.938023567199707,11077.487856405192,7961.169976319999,0.0,0.0,3116.317880085194,
4,2028-12-31,Albany - OR USA - Linn County,Albany - OR,131582.0,Linn County,0.0544924437999725,248099.8268,0.0,0.0,1871.93334960938,0.935058355331421,11342.377636259085,7961.169976319999,0.0,0.0,3381.2076599390866,
5,2029-12-31,Albany - OR USA - Linn County,Albany - OR,131582.0,Linn County,0.0531924441456795,261444.8925,0.0,0.0,1921.24438476563,0.933678328990936,11623.981118947726,7961.169976319999,113084.8008,261444.8925,152022.90284262772,0.1764019440997353
0,2024-12-31,Albuquerque - NM USA - Cottonwood,Albuquerque - NM,925721.0,Cottonwood,0.0564103089272976,243313.0688,97325.22752000001,145987.84128,1428.56628417969,0.926572680473328,0.0,0.0,0.0,0.0,-97325.22752000001,
1,2025-12-31,Albuquerque - NM USA - Cottonwood,Albuquerque - NM,925721.0,Cottonwood,0.0568103082478046,251391.8129,0.0,0.0,1476.55419921875,0.536095678806305,5129.401630694604,10277.544026111998,0.0,0.0,-5148.142395417394,
2,2026-12-31,Albuquerque - NM USA - Cottonwood,Albuquerque - NM,925721.0,Cottonwood,0.0541103109717369,273822.0161,0.0,0.0,1520.61047363281,0.855972766876221,8434.375480877716,10277.544026111998,0.0,0.0,-1843.1685452342826,
3,2027-12-31,Albuquerque - NM USA - Cottonwood,Albuquerque - NM,925721.0,Cottonwood,0.0510103106498718,299534.6595,0.0,0.0,1558.42163085938,0.910817325115204,9197.954489512173,10277.544026111998,0.0,0.0,-1079.5895365998258,
4,2028-12-31,Albuquerque - NM USA - Cottonwood,Albuquerque - NM,925721.0,Cottonwood,0.0478103086352348,327674.9855,0.0,0.0,1590.88354492188,0.908013105392456,9360.639339465943,10277.544026111998,0.0,0.0,-916.9046866460558,
5,2029-12-31,Albuquerque - NM USA - Cottonwood,Albuquerque - NM,925721.0,Cottonwood,0.0462103076279163,347636.5895,0.0,0.0,1622.56628417969,0.908815979957581,9555.499806066766,10277.544026111998,145987.84128,347636.5895,200926.70399995477,0.13960718398289007
